Customer Num,Company,"Address, City, State & Zip",Salesman Assigned,Postal Code,State License Num,On-Off Premise,City,County,Deliveryman Assigned
1006,Chilly Mart - Carrolton,"2220 Marsh Lane, #122, Carrollton, TX 75006",Jeff Martin,75006,BQ949864,Off Premise,Carrollton,Dallas,Jose Vital
1009,Local Pint,"2750 Churchill Drive, Flower Mound, TX 75063",Nathan Zaremba,75063,BG952805,On Premise,Flower Mound,Denton,James Liston
1010,Haymaker,"1520 Greenville Ave, Dallas, TX 75206",Mason Lowe,75206,MB953508,On Premise,Dallas,Dallas,Joe Fronczek
1011,Craft Beer Cellar,"6324 Gaston Ave., Dallas, TX 75214",Mason Lowe,75214,BG953081,Off Premise,Dallas,Dallas,James Hall
1014,44 Bootlegger,"1411 W. Magnolia Ave., Suite 101, Fort Worth, TX 76104",Taylor Coward,76104,BG824866,On Premise,Fort Worth,Tarrant,Joe Fronczek
1016,Crafty Irishman Public House,"1800 Main St, Dallas, TX 75201",Mason Lowe,75201,MB950571,On Premise,Dallas,Dallas,James Hall
1017,Social Pie,"5855 Maple Ave., Suite 160, Dallas, TX 75235",Harrison Boyland,75235,BG957413,On Premise,Dallas,Dallas,Ronald Streng
1021,"Beaker Social Club, Inc. - Pie Tap","2708 N. Henderson Ave., Suite 110, Dallas, TX 75206",Mason Lowe,75206,N945683,On Premise,Dallas,Dallas,Joe Fronczek
1032,Taps & Caps - Fort Worth,"6115 Camp Bowie Blvd., Fort Worth, TX 76116",Nathan Zaremba,76116,BG943308,On Premise,Fort Worth,Tarrant,Joe Fronczek
1033,Nerdvana Food & Spirits,"5757 Main Street, Suite 112, Frisco, TX 75034",Hudson Boyd,75034,RM961005,On Premise,Frisco,Collin,Ronald Streng
1037,Pie Tap Pizza Workshop and Bar,"1212 Oak Lawn Ave, Dallas, TX 75207",Harrison Boyland,75207,MB940552,On Premise,Dallas,Dallas,Joe Fronczek
1047,Liquor City,"290 E Corporate Dr., Lewisville, TX 75067",Jeff Martin,75067,bf871276,Off Premise,Lewisville,Denton,James Liston
1061,Twin Peaks - Fort Worth - Fossil Creek,"6650 North Freeway, Fort Worth, TX 76137",Nathan Zaremba,76137,MB845188,On Premise,Fort Worth,Tarrant,Justin Stryker
1068,Tricky Fish,"1251 State Street, Richardson, TX 75082",Harrison Boyland,75082,RM932488,On Premise,Richardson,Collin,Ronald Streng
